Animal,Epoch,Cell,Theta_deg_all,Theta_Pval_all,before_distance_all,after_distance_all,Number_events_all,Theta_deg_ctr,Theta_Pval_ctr,before_distance_ctr,after_distance_ctr,Number_events_ctr,Theta_deg_nov,Theta_Pval_nov,before_distance_nov,after_distance_nov,Number_events_nov,Theta_deg_ptnr,Theta_Pval_ptnr,before_distance_ptnr,after_distance_ptnr,Number_events_ptnr,Dev_Nov_post,Pval_Nov_post,Dev_Ptnr_post,Pval_Ptnr_post,Dev_Nov_pre,P_val_Nov_pre,Dev_Ptnr_pre,P_val_Ptnr_pre,Napp_05,Papp_05,N_ongoing_motion,P_ongoing_motion,newvar,P_app_categories,N_app_categories,P_app_dep_cells,N_app_dep
440,1,25,90.8919166666667,47,.632183598569381,117.100486818177,84,91.1423225806451,44.2,1.28317053962178,111.361969879054,62,111.857,48.3,25.5427974192335,268.589813097965,3,94.1556315789474,70.1,18.4723712608858,128.378185841676,19,-.463289616,20.4,.904669306,83.3,-.490786687,19.8,1.682450885,96.7,0,0,0,0,0,0,0,0,0
440,1,26,83.114,33.3,6.99399892039355,236.95705675782,14,127.682666666667,86.1,3.42146167595078,157.534476861416,3, , , , ,0,91.0611818181818,41.9,12.7736799709402,257.671125468105,11, , ,.004388016,53.5, , ,.021412035,44.4, ,0, ,0,0,0,1,0, 
440,1,28,98.2258571428571,77.1,1.99497122761787,88.667778449659,42,92.8788888888889,55,.344383507154468,16.6971644299265,27, , , , ,0,78.8758666666667,25.3,12.3809086903991,213.86323714,15, , ,2.668174213,99.1, , ,-.002499296,44.9, ,0, ,0,0,0,1,2, 
440,1,30,119.999411764706,97.8,5.07350963338004,120.957208962509,17,67.8627142857143,15.8,.431856457633792,149.769787674284,7, , , , ,0,110.0667,77.2,19.7328698283115,236.806649610482,10, , ,1.247847338,91.4, , ,.091643285,48.3, ,0, ,0,0,0,1,0, 
440,1,31,74.2662857142857,14.4,.172907459825986,77.1931110733374,14,109.711384615385,88.7,8.83133059057361,137.625975019253,13, , , , ,0,8.429,5.3,17.9902112272202,190.931265642901,1, , ,1.391959304,94.7, , ,.027123341,41.3, ,0, ,0,0,0,1,0, 
440,1,33,99.5176923076923,71.3,.453982378512636,137.426654256007,13,111.062,86.5,.160000000000025,149.328047599907,11, , , , ,0,49.9235,12.4,1.41688847877486,142.586671279521,2, , ,.677559264,86.1, , ,.554284172,78.4, ,0, ,0,0,0,1,0, 
440,1,35,75.48675,23,26.9759853378996,151.164271998386,8,71.1296,24.2,4.82255119205589,172.04630917285,5, , , , ,0,143.061,92.3,18.3704246004277,128.079193079907,3, , ,4.500950778,99.4, , ,1.302385437,93.4, ,0, ,0,0,0,1,2, 
440,1,36,93.6665789473684,49.1,.471699056602835,31.1279633127515,19,97.7626923076923,65.6,1.29529919323689,137.694380785855,13, , , , ,0,95.1428333333333,50.3,45.1636944155122,314.70416488285,6, , ,4.806158175,99.8, , ,-.004702068,46.3, ,0, ,0,0,0,1,2, 
440,1,37,116.7926,90.1,1.93930040386598,181.507155934736,10,119.3384,83.5,.294108823397084,148.206349391651,5, , , , ,0,81.4852,28,33.4831375471296,249.581094035586,5, , ,-.193641112,37.5, , ,-.684384668,16, ,0, ,0,0,0,1,0, 
440,1,38,90.1947,42.8,5.46730604780313,41.5983896178299,30,101.554,77.5,.223606797749966,76.5103058417623,15, , , , ,0,108.170666666667,90.3,27.1341003167601,192.565294900197,15, , ,.280864263,68.2, , ,-.683739322,18.8, ,0, ,0,0,0,1,0, 
440,1,40,101.190315789474,69.4,.404474968323112,30.1116621925791,19,107.444083333333,82.2,2.21817817104928,147.054146291071,12,179.798,94.5,29.2412380038876,313.951340337958,1,93.6251666666667,45.8,8.44181428868133,190.906825744514,6,-.187058454,45.9,1.167038245,90,-1.860972683,5.2,-1.141957074,11.7,0,0,0,0,0,0,1,0,0
440,1,41,87.3792105263158,29.4,4.57354348399575,120.391478519038,19,83.1821111111111,32.6,14.80109455412,149.636904873096,9, , , , ,0,140.0792,99.5,24.022859462572,189.112241190389,10, , ,.413586749,69.9, , ,.343009737,63.2, ,0, ,0,0,0,1,0, 
440,1,42,75.94275,20.8,.220227155455456,138.094187060861,13,112.91975,83.2,.288995921316721,151.222405055758,8, , , , ,0,67.2628,14.3,11.1567244296881,282.460105855677,5, , ,-.048995953,47, , ,-.021555848,39.8, ,0, ,0,0,0,1,0, 
440,1,43,81.2064444444444,31.8,.7262231062146,145.112555624936,9,125.945,93.3,7.1772209106311,119.426379414265,7, , , , ,0,79.2825,34.2,9.88336259854064,301.663342408864,2, , ,-.312540339,35.9, , ,.342998739,66.2, ,0, ,0,0,0,1,0, 
451,1,1,99.5876470588235,68.2,21.5742740318185,150.723674650003,17,83.1303333333333,35.5,29.7931485412334,169.208236206161,3,85.8208333333333,35.5,4.81983744555703,163.520325835035,12,102.704,53.7,35.4903987934986,112.468586197693,2,.30407609,75,-.109851131,67.3,-3.481670413,1.1,-.082117588,26.4,0,0,0,0,0,0,1,0,0
451,1,2,67.4255,11,5.25149210157123,215.278697826583,6,54.896,26.6,9.25356687985773,7.09181218025407,1,78.0776666666667,31.5,3.00501247917543,156.887435124678,3,148.796,85.7,96.4279660144314,218.142128881721,2,-1.567754865,3,-.448527852,33.2,.206589187,75.4,.054260428,36,1,0,0,0,0,0,2,0,1
451,1,3,73.8173333333333,10.5,3.55211672732953,174.452131077201,12,163.882,86.7,13.4950731750517,169.442124927658,1,87.7355,40.8,17.8024822921692,156.511190414719,10,91.758,41.7,6.46301787093304,239.448710374477,1,.070986057,63.7,-.305394781,45.9,-.401540894,22.5,.194156679,41.1,0,0,0,0,0,0,0,0,0
451,1,4,88.0708,29.3,7.67349333745716,176.446953501612,31,114.59475,72.4,51.6297799174443,96.0774955334404,4,90.6034090909091,46.3,8.95670934360845,187.881053427877,22,144.6792,97.8,15.9316822714991,214.221935384778,5,.533157445,82.8,.021988926,64.7,.337287048,67.3,-.102154273,33.5,0,0,0,0,0,0,0,0,0
451,1,5,93.5086666666667,51.2,7.12027120353522,169.525339410289,18, , , , ,0,112.2820625,94,19.3945927686861,169.39495815398,16,108.208,57.8,37.5166654218785,210.478210700903,2,.310969458,75.5,.188619199,77.3,.254360475,60.3,.279463469,53,0,0,0,0,0,0,0,0,0
451,1,6,93.53228,51.2,13.2134968876524,174.078255965528,25, , , , ,0,101.646315789474,77.3,12.5806557857689,168.065059426402,19,120.498166666667,85.2,12.2315931671294,160.783850914728,6,1.908009164,96.7,-.051385862,62.2,-.273650258,25.9,.391152772,69.9,0,0,0,0,0,0,0,0,2
451,1,8,98.6198421052632,67.8,23.4829640377871,149.38787434059,19,100.4945,59.3,18.9757365781533,190.785813908917,4,103.499333333333,80.1,18.3674237752324,169.893002118905,12,144.205,92,7.93122941289684,22.2084668538826,3,-3.195066189,.6,-.168239078,58.2,.558918402,83.9,.240659615,54.7,1,0,0,0,0,0,2,0,1
451,1,12,97.7382931034483,80.2,8.26796831150193,363.119656862583,59,99.54325,56.3,21.8788352238414,192.913604878568,4,98.1967073170732,78.9,8.28214947945277,159.953209408252,41,90.6110714285714,28.3,17.0209558117063,183.43880156198,14,2.177026445,98.1,-.445007721,28,-.934116242,12.9,.196792023,48.9,0,0,0,0,0,0,0,0,2
451,1,13,103.641434782609,81.8,9.09682362146261,187.397341763431,23,84.7996,33.6,14.4167437377516,218.740351101483,5,112.052833333333,91.2,7.1737844485203,177.148162234072,12,120.555333333333,83.3,10.5630627833543,213.360231575124,6,.023949221,60,-.209132282,50.3,.471728551,84,-.069809843,37.8,0,0,0,0,0,0,0,0,0
451,1,15,93.6987837837838,62.7,15.1066635185278,372.37676430833,74,110.288,81.3,15.5117115885707,180.913176611859,10,101.699081632653,92.1,27.8309503969951,267.106571240769,49,103.741733333333,67,26.4623392767911,237.180974785078,15,1.92043058,97.7,-.457763666,25.2,-2.192275989,3.8,-1.233153385,10,0,0,0,0,0,0,1,0,2
451,1,16,76.6957894736842,9.9,11.8937840908602,169.832440069617,19,94.698,47,13.6340469306884,189.608378439115,6,86.4731,39.1,18.5729608886974,148.198127213008,10,115.13,67.6,18.3721746127126,221.841428277047,3,.259717146,73.9,-.354503564,27.1,-.009431043,43.2,.038036353,38.1,0,0,0,0,0,0,0,0,0
451,1,17,92.5678421052631,47.4,5.36270454155357,157.662245639214,19,39.23925,2.1,9.05257913314827,219.105425236045,4,73.2992142857143,9.4,5.55235797730303,175.488682023424,14,51.411,25.4,68.2672315243558,205.920621842495,1,-1.962633732,2.8,.272688692,84.4,-.531164341,20,.117534429,37.2,1,0,0,0,0,0,2,0,1
451,1,18,76.9912571428571,3,.504777178564957,139.54464518569,35,67.9133,5,8.90757205780299,176.36206136376,10,107.590476190476,91.9,6.26539703450626,173.921500108526,21,123.581,80.2,6.22588380304658,85.2344603888968,4,.014325539,50.9,-.110956679,58.6,.510822468,82.7,-.221162607,25.3,0,0,0,0,0,0,0,0,0
451,1,19,85.8089523809524,17,20.9894858567562,164.589699599739,42,127.6353,97.7,58.733829515229,214.734054048819,10,102.222444444444,84.6,10.2426032817862,214.44786719381,28,117.421,73.4,11.6121810196612,277.679952683159,4,-1.595501743,4.5,.924393866,91.3,.471250718,75.5,2.54556658,99.3,1,0,0,0,0,0,2,0,1
451,1,21,93.6814358974359,50.6,11.2176690983466,169.787614683757,39,80.414625,20.8,31.2513900388395,176.951376272699,8,95.33,60.4,10.8389962462383,187.028843624566,22,126.342,94.8,17.4222501417009,209.777247813008,9,-.195506359,28.8,.865444967,87.5,.355336606,70.6,-.67261757,19.4,0,0,0,0,0,0,0,0,0
451,1,22,114.924666666667,93.8,12.6587400636872,176.098638552375,15,128.71675,87,41.2243854506559,191.358660450981,4,79.7548333333333,29.1,9.95653497012167,151.127872272798,6,110.3466,68.5,46.1611784944882,34.974962473175,5,.232884562,74.3,-.204684439,42.2,-2.80289566,1.5,.21053244,53.2,0,0,0,0,0,0,1,0,0
451,1,24,90.6701111111111,41.3,7.46174912470258,167.257093721014,19,160.94,83.1,7.46174912470258,20.7535563217488,1,80.3144,19.2,11.2348787265373,160.944577106531,15,103.003,55.5,17.4468478528358,222.375798368438,3,.116319177,63.6,-.443538696,18.5,-1.251961535,8.4,-.710602298,11.2,0,0,0,0,0,0,1,0,0
451,1,25,106.923588235294,93.3,10.2154766646851,162.485342510171,34,66.7076666666667,9.9,10.7689917668204,228.881110646701,6,93.7588260869565,55.2,4.54824141839461,187.485711722254,23,126.454,85.8,23.9876489052179,197.721964890095,5,.042485232,47.3,.582489485,85.6,-2.516867972,2,-.716920683,15.9,0,0,0,0,0,0,1,0,0
451,1,29,85.4513888888889,15.2,9.7525850134458,314.147919151685,72,94.7114,51.7,5.05108545373065,196.335171441156,20,84.132925,16.4,6.96879092545828,154.526452321485,40,96.3184166666667,43.2,21.4286175474073,217.032517887359,12,.43432795,77.8,-.123237676,54.2,3.824324903,99.9,.917222736,87.7,0,0,0,0,0,0,0,0,0
451,1,30,87.3534893617021,21.3,10.7260477343708,195.084296138874,47,111.968764705882,89.9,8.39211534715772,185.556288494893,17,101.944137931034,83.8,3.406405730385,177.694199398855,29,24.755,16.5,12.1220872790126,223.924009431771,1,-.269523756,29.8,.425687685,86.7,.386718955,71.7,.495544179,87.1,0,0,0,0,0,0,0,0,0
451,1,31,88.1030769230769,31.4,.837767441306657,182.696220433036,26,131.17675,90.6,22.699872361827,193.298813172292,4,91.2546190476191,46.4,5.27375577743231,194.399475565136,21,56.656,26.4,8.23967232358181,8.03037359031322,1,-.163268938,31.2,-.072914197,71.3,-.055276044,36.8,.120558888,34.9,0,0,0,0,0,0,0,0,0
451,1,32,82.781,7.4,4.88230617898452,279.474575592193,54,64.7129333333333,1.5,28.9225897872234,189.410031413333,15,99.2534705882353,79.6,5.84137519449379,163.885498133126,34,70.6442,14.4,8.00870776093129,140.63189005343,5,.28457913,65.7,-.104911866,55.2,1.739456912,97.6,1.244529015,96,0,0,0,0,0,0,0,0,0
451,1,33,103.056019230769,99.2,6.93004139376474,383.122044171726,104,107.906142857143,85.7,22.8317191643555,168.840452794939,21,82.7374383561644,11.4,7.4402755325324,363.570173969208,73,128.1262,95.1,19.5546193417712,228.004423337113,10,.671046685,81.3,.051127606,62.3,-1.028341617,11.8,-.099291957,37.7,0,0,0,0,0,0,0,0,0
451,1,34,92.9138125,64.5,2.18802395781014,360.017887723581,80,71.0888333333333,5.8,12.8209318654901,196.797168836319,12,86.5671639344262,32.4,7.00412021598717,350.487986242039,61,107.425714285714,67.3,14.86710799046,209.895174313275,7,-.57846429,20.1,.463491762,82.6,.034775314,42,1.530809261,96.9,0,0,0,0,0,0,0,0,0
451,1,36,111.487529411765,91.8,14.2830809001419,122.110796410473,17,141.8205,99.3,12.5530563132591,167.653467741986,8,90.5921428571429,48.8,5.5246085834201,152.821198136908,7,115.293,66.5,71.2258919640341,131.745219078319,2,.199730505,76.9,-.546222383,25.6,-3.034828569,1.2,.567431738,79.8,0,0,0,0,0,0,1,0,0
451,1,38,77.9117173913043,1.8,33.4416624713678,77.4655036090861,46,97.42184,59.4,24.9504408778683,211.751060682113,25,81.3921818181818,25.7,12.6222105829367,164.398163006768,11,100.1532,56.5,27.5727065926294,209.146578154664,10,1.335674708,94.1,-.787975709,13.6,-.701470291,16,2.010055828,98.1,0,0,0,0,0,0,0,0,0
451,1,39,97.3088235294118,66.4,7.32020063335962,126.819993577857,34,86.5934166666667,28.6,7.60106958064088,164.584720332466,12,92.3257,50.6,17.5901649856392,184.461775209942,20,116.819,66.6,17.7160317447846,127.098719230058,2,.436780697,82,-.495269554,28.1,-9.574801363,0,-.176471496,22.4,0,0,0,0,0,0,1,0,0
451,1,41,96.7493269230769,71,.678084963002105,324.450483510181,52,93.2454166666667,46.8,1.90941179330281,181.911136566629,12,71.7232,1.1,4.0545283326178,147.996908075811,35,57.2206,6.1,5.35850725482386,198.194532972027,5,-.043898889,41.3,-.132493229,56.7,.630208713,82.4,-.059128673,35.7,0,0,0,0,0,0,0,0,0
451,1,44,101.016227272727,92.2,5.48065092445735,354.147906671066,66,99.7279166666667,61.7,15.883736543659,168.292994680815,12,82.4348367346939,10.4,4.33866338864864,303.990077798602,49,122.3308,86.1,22.9279087576691,151.795582610299,5,-1.392937905,6.5,-.400957202,21.7,.024903862,40,.155231046,49.2,0,0,0,0,0,0,2,0,0
451,1,45,81.0280408163265,3.2,7.68885012041979,327.306588944293,98,99.5835357142857,69.7,16.245938466118,183.612194615437,28,88.7805223880597,42.2,4.25403338021686,365.075343730578,67,118.797333333333,72.7,8.23967232358181,187.654203523396,3,-.100644122,37.7,.177879076,80,.3393638,60.6,-.166815313,28.8,0,0,0,0,0,0,0,0,0
451,1,46,91.7645789473684,45.9,10.768127383315,318.422702851195,58,91.7204444444445,40.7,25.580838531995,202.169483354932,9,97.4321627906977,76.1,5.27743308815942,167.188168540719,43,97.1263333333333,48.4,12.0059736502824,170.170591080438,6,-.885004135,12.2,2.00319849,96.1,5.814387458,100,.742276461,88.7,0,0,0,0,0,0,0,2,0
451,1,48,103.45675,87.6,12.2874721862248,178.902291620756,40,107.377833333333,68.5,11.4327312064049,109.914711197895,6,104.363545454545,86.4,15.1695033881425,197.320563589426,22,108.884333333333,73.9,12.598944847086,199.5706647441,12,-.008200994,50.3,-.14870674,50.5,.102221643,44.4,-.554884754,24,0,0,0,0,0,0,0,0,0
451,1,49,115.921043478261,98.2,10.5847059477342,161.076335009212,23,129.074,93.8,20.1913113496558,122.550813940209,6,91.2916666666667,49.6,8.72073997824058,164.701274831613,12,89.7384,36.6,11.2203609567608,212.619139542987,5,.755415733,87.8,.164921464,73.2,-2.443094574,1.4,.212425242,57.6,0,0,0,0,0,0,1,0,0
451,1,50,77.4318529411765,2.9,6.53823519051873,162.627611868974,34,67.6357142857143,8.9,4.27571046727908,214.114305920926,7,103.63052173913,86.1,3.27954265104146,185.251920367914,23,91.72525,43,11.1933421040445,264.042837606304,4,.455167883,82.8,-.183384392,54.1,.524679222,80.5,.021973689,37.9,0,0,0,0,0,0,0,0,0
451,1,51,89.4783973509934,39.4,3.27226221443199,431.418335261727,151,87.5981724137931,25.4,7.24489475423903,175.853066507241,29,81.5723962264151,6,5.33980786401001,398.363298803571,106,84.9388125,20.1,21.0040189467274,221.103497542178,16,-.151096424,40.2,-.769118224,14.4,-.55182818,21.5,.287733694,58.3,0,0,0,0,0,0,0,0,0
451,1,52,104.041333333333,80.1,2.14910029825297,67.6607662318954,18,131.401,98.5,12.8932385380865,201.137855213781,11,59.8882,7.9,4.91076368806321,147.206022295285,5,115.6635,68.3,33.162577123418,205.649013096922,2,.06250658,67.3,-.111906677,67.9,.246633235,76,.490285933,74.5,0,0,0,0,0,0,0,0,0
451,1,53,77.3096842105263,1.3,10.4962517119207,291.495860862551,57,86.85,29.7,15.6185050501,227.06964240074,11,96.5457727272727,72,7.97220170341929,231.936633156559,45,176.624,95.8,97.9333635693168,108.332138352384,1,-6.241512927,.1,.232639509,82.4,-2.636358901,2.5,.196982988,50.3,1,0,1,0,0,0,1,0,1
451,1,54,88.558896,34.8,6.57735799801635,432.893024099509,126,109.808939393939,93.5,9.26620742267295,169.005757594231,33,88.102,44.2,4.24257625410504,356.431493821759,78,89.9676666666667,28.7,22.8317191643555,191.853853232089,15,-2.659994592,1.6,.052824992,64.4,-1.70604208,5.2,.231535102,50.1,1,0,1,0,0,0,1,0,1
451,1,56,94.304925,53.6,7.66033510205747,156.15022776748,40,105.030636363636,73.3,11.996803740997,150.562932025117,11,101.647611111111,78.9,5.91567337572737,156.225130644707,18,77.7517272727273,14,26.6360507583238,198.825866023513,11,-.097518208,41.9,.287005378,73,.228810539,61,.951126424,88.9,0,0,0,0,0,0,0,0,0
485,1,1,97.3919090909091,60.2,47.9128385717231,112.926002320103,11,157.354,98,29.3752225523485,61.2734893734639,3,156.6965,93.1,29.6241209546549,164.150572188488,2,118.863666666667,86.5,30.3147303324814,133.782167945916,6,3.374684967,97.6,.567544122,78.3,-.503797355,20.4,.928525877,87.9,0,0,0,0,0,0,0,0,2
485,1,2,113.050941176471,93.8,21.9748674626265,193.61533513645,17,167.762666666667,99.4,16.3687293337021,131.049008008455,3,91.291,37.9,2.15481241473252,57.1702821986151,4,99.4197,63.7,6.00250866459969,116.123712618063,10,-1.907406123,.5,1.710423244,95.6,-1.036442969,11.3,.187718405,61.2,1,0,0,0,0,0,2,2,1
485,1,3,70.4998461538461,5.1,13.20009469663,205.804452818689,13,84.0563333333333,30,10.4557830887983,217.041954469637,3,126.305666666667,80.5,15.8131148101821,213.205628443529,3,126.123571428571,93.1,20.4826878119059,233.145655974972,7,-.126184469,47.9,-.835319658,14.1,1.190911005,92.5,-.227889604,36.3,0,0,0,0,0,0,0,0,0
485,1,10,111.5082,91.4,24.2442387511499,193.220983386537,20,96.8375,44.7,32.8574667401945,142.464216215091,2,98.2516,49.6,11.6265429083627,202.743993252575,5,124.154923076923,98.3,32.8259653323402,187.080507001665,13,11.33574339,100,.370925425,72.1,.159396397,58,1.408897837,93.5,0,0,0,0,0,0,0,0,2
485,1,12,95.379525,60.2,22.7963403060303,196.987315199923,40,120.531,83.3,26.404950751954,115.615171184401,6,83.6536363636364,21,11.6265429083627,202.180387278292,11,107.164391304348,88.2,9.49107475473672,205.755554481526,23,-.966785662,10.3,3.147100869,99.6,-.660629555,17.1,4.700958539,100,0,0,0,0,0,0,0,2,0
485,1,13,116.597384615385,99.8,31.427123635484,191.647023718084,39,149.9085,86.8,12.7352736856544,28.180924339878,2,102.1728,57.1,12.2509917965853,167.581422598091,5,101.521125,81.2,11.2304599780615,206.131554749912,32,4.443929811,99.5,-.244048216,38.3,-.444278067,21.9,-.079428986,44.9,0,0,0,0,0,0,0,0,2
485,1,14,126.355888888889,97.3,4.12704494765936,148.884713788891,9,131.349,60,50.443491155946,100.941540012029,1, , , , ,0,136.00325,99,43.159915907514,90.5378781815199,8, , ,-.684681375,17.9, , ,-.212907077,39.8, ,0, ,0,0,0,1,0, 
485,1,16,88.1331,25.4,14.6718975895533,115.798337018944,30,115.558375,75.6,30.6856399209019,136.776449248138,8, , , , ,0,87.9349545454545,31.1,4.91344506917763,197.218526401901,22, , ,.497700986,74.3, , ,.516655422,76.9, ,0, ,0,0,0,1,0, 
