Var1,Var2,Var3,Var4,Var5
445,2,31,-0.796208262436784,12.3
445,2,32,0.0789690786122724,65.6
445,2,33,5.92095360768204,99.9
445,2,34,-0.213646282416069,41.1
445,2,35,0.223842157193115,71
445,2,36,-0.837913124863882,12.2
445,2,37,-0.0143357224607817,54.7
445,2,38,-0.171544868988766,35.7
445,2,39,-0.0666162486218072,48.2
445,2,40,1.38149966878111,93
445,2,41,-0.0574769862107876,47.1
445,2,42,1.90621118508247,97
445,2,43,-0.243826347567926,35.5
445,3,1,NaN,NaN
445,3,2,-0.234022673199643,35
445,3,3,0.486483179394189,86.8
445,3,4,0.358478919139789,83.4
445,3,5,-0.18691529567531,33.8
445,3,6,0.682296224022561,83.8
445,3,7,-0.301396342486785,30.8
445,3,8,-0.244616891527158,39.7
445,3,9,0.0924831610853553,60.6
445,3,10,NaN,NaN
445,3,11,1.23465151581334,94.3
445,3,12,-0.630423241812935,17.3
445,3,13,2.86696736082497,98.1
445,3,14,0.405331268039807,83.7
445,3,15,0.258811219220748,70.7
445,3,16,-2.24376608761197,2.1
445,3,17,-0.536574311651014,18.9
445,3,18,-0.0383325348089271,54.2
445,3,19,-0.443844459414424,24.5
445,3,20,0.0491474320332651,60.6
445,3,21,-0.234774351867107,39.7
445,3,22,2.07825022800377,97
445,3,23,0.654815877506346,82.1
445,3,24,0.430256075138999,79.8
445,3,25,0.215717866505428,78.3
445,3,26,2.16010088188994,96.9
445,3,27,-0.478626467988464,22.3
445,3,28,-0.717569286805966,15.9
445,3,29,-0.362288267892745,29.6
445,3,30,0.946548589689946,88.2
445,3,31,2.90846477476319,99.1
445,3,32,-0.156671003999234,39.4
451,1,1,0.304076089619823,75
451,1,2,-1.56775486474939,3
451,1,3,0.0709860568304319,63.7
451,1,4,0.533157444570568,82.8
451,1,5,0.310969457860039,75.5
451,1,6,1.90800916395922,96.7
451,1,7,-0.0448975366754852,41.6
451,1,8,-3.19506618876698,0.6
451,1,9,0.189917071932819,75
451,1,10,-0.997193238338113,9.5
451,1,11,-0.49425226628968,19.3
451,1,12,2.17702644489385,98.1
451,1,13,0.023949221136353,60
451,1,14,-0.738371902757178,13.4
451,1,15,1.92043057977077,97.7
451,1,16,0.259717145830816,73.9
451,1,17,-1.96263373153617,2.8
451,1,18,0.0143255388164017,50.9
451,1,19,-1.59550174334826,4.5
451,1,20,2.64876276513577,98.3
451,1,21,-0.195506358979948,28.8
451,1,22,0.232884561699753,74.3
451,1,23,-0.116174465234673,36.5
451,1,24,0.11631917719713,63.6
451,1,25,0.0424852324018494,47.3
451,1,26,-0.957104032556061,9.6
451,1,27,0.257774786031161,66.6
451,1,28,0.898627940848485,91.5
451,1,29,0.434327950053168,77.8
451,1,30,-0.269523756065361,29.8
451,1,31,-0.163268937733311,31.2
451,1,32,0.284579129675614,65.7
451,1,33,0.671046685226621,81.3
451,1,34,-0.578464289747675,20.1
451,1,35,1.34773992994771,95.2
451,1,36,0.199730505243638,76.9
451,1,37,0.114867424476991,53.9
451,1,38,1.33567470844387,94.1
451,1,39,0.436780696753456,82
451,1,40,1.08923735087211,91
451,1,41,-0.0438988886049868,41.3
451,1,42,-0.0749713454620015,42.8
451,1,43,3.50043824473984,99
451,1,44,-1.39293790460151,6.5
451,1,45,-0.100644122297328,37.7
451,1,46,-0.885004134758266,12.2
451,1,47,-0.390939834249226,23.4
451,1,48,-0.0082009939516256,50.3
451,1,49,0.755415732976091,87.8
451,1,50,0.455167883036005,82.8
451,1,51,-0.151096424335074,40.2
451,1,52,0.0625065803048292,67.3
451,1,53,-6.24151292652665,0.1
451,1,54,-2.65999459226082,1.6
451,1,55,0.276326394037264,75.3
451,1,56,-0.0975182083392775,41.9
451,2,1,NaN,NaN
451,2,2,-0.0282082055233592,59.7
451,2,3,NaN,NaN
451,2,4,NaN,NaN
451,2,5,-1.70797533592171,3.3
451,2,6,NaN,NaN
451,2,7,-0.903371993748337,12.6
451,2,8,-0.0822763359718412,46
451,2,9,0.0133907465551383,56.7
451,2,10,0.112691767845277,61
451,2,11,-0.143807587544159,41.7
451,2,12,-0.215712588519749,39.2
451,2,13,-2.6100061698371,0.7
451,2,14,1.6361231984024,94.7
451,2,15,-0.1025444645254,44.6
451,2,16,0.319273900309404,71.4
451,2,17,-1.79378476859265,3.7
451,2,18,0.0861947470770952,58.9
451,2,19,0.25997599117922,68.4
451,2,20,0.504299643575641,83.7
451,2,21,0.406378903036287,88.1
451,2,22,-0.628577802877021,20.3
451,2,23,-0.0809259729107587,59.1
451,2,24,-0.932575411453907,12.5
451,2,25,NaN,NaN
451,2,26,-0.792118045137039,4.6
451,2,27,-0.119801702110663,45.5
451,2,28,0.690919747784434,95
451,2,29,NaN,NaN
451,2,30,-0.091132244909035,42.5
451,2,31,0.0546502809712932,58.9
