Animal,Epoch,Cell,Dev_Ptnr_post,Pval_Ptnr_post
445,3,23,-0.065170429,50.9
445,3,24,-0.274437393,42
445,3,25,NaN,NaN
445,3,26,-0.637118145,20.5
445,3,27,NaN,NaN
445,3,28,-2.211002729,1.1
445,3,29,-0.057116555,57
445,3,30,0.161600893,70.4
445,3,31,-0.154192538,47.5
445,3,32,2.40790308,98
451,1,1,-0.109851131,67.3
451,1,2,-0.448527852,33.2
451,1,3,-0.305394781,45.9
451,1,4,0.021988926,64.7
451,1,5,0.188619199,77.3
451,1,6,-0.051385862,62.2
451,1,7,-0.924805113,2.9
451,1,8,-0.168239078,58.2
451,1,9,-0.775659437,8.3
451,1,10,-1.230099018,6.3
451,1,11,0.245991984,73.7
451,1,12,-0.445007721,28
451,1,13,-0.209132282,50.3
451,1,14,NaN,NaN
451,1,15,-0.457763666,25.2
451,1,16,-0.354503564,27.1
451,1,17,0.272688692,84.4
451,1,18,-0.110956679,58.6
451,1,19,0.924393866,91.3
451,1,20,-1.670194155,1.5
451,1,21,0.865444967,87.5
451,1,22,-0.204684439,42.2
451,1,23,-1.044128554,4
451,1,24,-0.443538696,18.5
451,1,25,0.582489485,85.6
451,1,26,-1.013837135,3.4
451,1,27,-1.274516159,3.1
451,1,28,-2.462318412,0.3
451,1,29,-0.123237676,54.2
451,1,30,0.425687685,86.7
451,1,31,-0.072914197,71.3
451,1,32,-0.104911866,55.2
451,1,33,0.051127606,62.3
451,1,34,0.463491762,82.6
451,1,35,-0.246988433,57.5
451,1,36,-0.546222383,25.6
451,1,37,-0.181843547,48.6
451,1,38,-0.787975709,13.6
451,1,39,-0.495269554,28.1
451,1,40,0.607290278,82.5
451,1,41,-0.132493229,56.7
451,1,42,-1.215494279,1
451,1,43,-0.883556644,5.4
451,1,44,-0.400957202,21.7
451,1,45,0.177879076,80
451,1,46,2.00319849,96.1
451,1,47,-1.418364657,4.5
451,1,48,-0.14870674,50.5
451,1,49,0.164921464,73.2
451,1,50,-0.183384392,54.1
451,1,51,-0.769118224,14.4
451,1,52,-0.111906677,67.9
451,1,53,0.232639509,82.4
451,1,54,0.052824992,64.4
451,1,55,-0.844042309,8.6
451,1,56,0.287005378,73
451,2,1,-0.105661371,45.2
451,2,2,NaN,NaN
451,2,3,-1.164997428,7.3
451,2,4,-0.084115377,47.6
451,2,5,-0.355273344,19.3
451,2,6,NaN,NaN
451,2,7,0.400005092,81.9
451,2,8,-0.443783318,13
451,2,9,-0.061913635,51.6
451,2,10,-0.096622786,47.8
451,2,11,1.810309034,95.9
451,2,12,NaN,NaN
451,2,13,-0.702391065,11.6
451,2,14,-0.380881149,25.2
451,2,15,2.398574456,97.6
451,2,16,-0.017561963,52.8
451,2,17,-0.048910299,45.5
451,2,18,NaN,NaN
451,2,19,-0.376580134,23.1
451,2,20,0.004762166,51.8
451,2,21,1.369093429,93.6
451,2,22,2.285878979,98.1
451,2,23,-0.711018839,16.6
451,2,24,0.015232501,50.6
451,2,25,-1.599521494,3
451,2,26,-1.293150643,5.4
451,2,27,-0.685796882,14
451,2,28,1.555431957,94.2
451,2,29,-0.473583568,12.5
451,2,30,-0.339852577,27.4
451,2,31,-0.351801609,26.2
451,2,32,-0.118110086,37.2
451,2,33,-1.374432953,4.6
451,2,34,1.142034104,93.2
451,2,35,-1.145166106,8.4
451,2,36,0.918399062,90.3
451,3,1,NaN,NaN
451,3,2,-0.073351949,45.7
451,3,3,-0.065369714,74.9
451,3,4,-0.348531311,21.7
451,3,5,-0.546675262,16.9
451,3,6,NaN,NaN
451,3,7,-0.493068022,12.2
451,3,8,-0.120763512,47.6
451,3,9,-0.199058158,67.1
451,3,10,-0.056694198,77.1
451,3,11,-0.976567704,2.5
451,3,12,0.36150603,87.6
451,3,13,-0.425119449,26
451,3,14,-0.552373686,13.9
451,3,15,-0.219230201,50.3
451,3,16,-0.216426598,23.9
451,3,17,-0.104935531,58.2
451,3,18,0.340069206,82.6
451,3,19,NaN,NaN
451,3,20,NaN,NaN
451,3,21,-0.801027826,5.1
451,3,22,NaN,NaN
451,3,23,-0.87229524,2.3
451,3,24,-0.831950299,7.6
451,3,25,-0.665374271,13.4
451,3,26,-0.692170396,8.8
451,3,27,NaN,NaN
451,3,28,-0.494752672,13.9
451,3,29,1.989569705,93.6
451,3,30,0.293420427,76.5
451,3,31,-0.397562303,28.1
451,3,32,-0.593942711,16
451,3,33,-0.7073884,4.2
451,3,34,0.235524209,74.1
451,3,35,-0.728401699,4.1
451,3,36,0.695472255,89.5
451,3,37,-0.209471728,39.9
451,3,38,0.030175116,79.1
451,3,39,-0.774946595,6.8
451,3,40,-0.311704539,28.7
451,3,41,0.131338635,67.9
451,3,42,-0.695788578,5
451,3,43,4.073263815,97.5
451,3,44,-0.224725964,34
485,1,1,0.567544122,78.3
485,1,2,1.710423244,95.6
485,1,3,-0.835319658,14.1
485,1,4,-0.226459024,39.3
485,1,5,0.342282493,71.3
485,1,6,0.616537209,80.5
485,1,7,-6.107509792,0
485,1,8,1.099913301,89.4
485,1,9,0.504482419,80.2
485,1,10,0.370925425,72.1
485,1,11,2.464083848,97.7
485,1,12,3.147100869,99.6
485,1,13,-0.244048216,38.3
485,1,14,-0.684681375,17.9
485,1,15,-1.620055414,3.8
485,1,16,0.497700986,74.3
485,1,17,3.324162304,99.4
485,1,18,-0.090219162,46.9
485,1,19,-0.1504579,43.8
